customerID,Genero,Idoso,Casado,Dependents,Tempo_como_Cliente,ServicoTelefone,Servico_Internet,Servico_Seguranca,Suporte_Tecnico,StreamingTV,Tipo_Contrato,MetodoPagamento,Pagamento_Mensal,Total_Pago,Churn
8168-UQWWF,Female,No,No,No,11,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Bank transfer (automatic),70.55,1105.4,Yes
8865-TNMNX,Male,No,Yes,Yes,10,Yes,DSL,No,No,No,One year,Mailed check,70.55,475.7,No
9489-DEDVP,Female,No,Yes,Yes,70,Yes,DSL,Yes,No,Yes,Two year,Credit card (automatic),70.55,4872.35,No
9867-JCZSP,Female,No,Yes,Yes,17,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,70.55,418.25,No
4671-VJLCL,Female,No,No,No,63,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),70.55,4861.45,No
4080-IIARD,Female,No,Yes,No,13,Yes,DSL,Yes,Yes,Yes,Month-to-month,Electronic check,70.55,981.45,No
3714-NTNFO,Female,No,No,No,49,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,70.55,3906.7,No
5948-UJZLF,M,No,No,No,2,Yes,DSL,No,No,No,Month-to-month,Mailed check,70.55,97.0,No
7760-OYPDY,f,No,No,No,2,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,70.55,144.15,Yes
7639-LIAYI,Male,No,No,No,52,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),70.55,4217.8,No
2954-PIBKO,Female,No,Yes,Yes,69,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),70.55,4254.1,No
8012-SOUDQ,Female,Yes,No,No,43,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,70.55,3838.75,No
9420-LOJKX,Female,No,No,No,15,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Credit card (automatic),70.55,1426.4,Yes
6575-SUVOI,Female,Yes,Yes,No,25,Yes,DSL,Yes,Yes,Yes,Month-to-month,Credit card (automatic),70.55,1752.65,No
7495-OOKFY,Female,Yes,Yes,No,8,Yes,FIBER OPTIC,No,No,No,Month-to-month,Credit card (automatic),70.55,633.3,Yes
4667-QONEA,Female,Yes,Yes,Yes,60,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),70.55,4456.35,No
1658-BYGOY,Male,Yes,No,No,18,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,70.55,1752.55,Yes
8769-KKTPH,f,No,Yes,Yes,63,Yes,FIBER OPTIC,Yes,No,Yes,One year,Credit card (automatic),70.55,6311.2,No
5067-XJQFU,Male,Yes,Yes,Yes,66,Yes,FIBER OPTIC,No,Yes,Yes,One year,Electronic check,70.55,7076.35,No
3957-SQXML,Female,No,Yes,Yes,34,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),70.55,894.3,No
5954-BDFSG,Female,No,No,No,72,Yes,FIBER OPTIC,No,Yes,Yes,Two year,Credit card (automatic),70.55,7853.7,No
0434-CSFON,Female,No,Yes,No,47,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,70.55,4707.1,No
1215-FIGMP,Male,No,No,No,60,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Bank transfer (automatic),70.55,5450.7,No
0526-SXDJP,Male,No,Yes,No,72,No,DSL,Yes,No,No,Two year,Bank transfer (automatic),70.55,2962.0,No
0557-ASKVU,Female,No,Yes,Yes,18,Yes,DSL,No,Yes,No,One year,Credit card (automatic),70.55,957.1,No
5698-BQJOH,Female,No,No,No,9,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,70.55,857.25,Yes
5122-CYFXA,Female,No,No,No,3,Yes,DSL,No,Yes,Yes,Month-to-month,Electronic check,70.55,244.1,No
8627-ZYGSZ,Male,No,Yes,No,47,Yes,FIBER OPTIC,No,No,No,One year,Electronic check,70.55,3650.35,No
3410-YOQBQ,Female,No,No,No,31,Yes,DSL,No,Yes,Yes,Two year,Mailed check,70.55,2497.2,No
3170-NMYVV,Female,No,Yes,Yes,50,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),70.55,930.9,No
7410-OIEDU,Male,No,No,No,10,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Mailed check,70.55,887.35,No
2273-QCKXA,Male,No,No,No,1,Yes,DSL,No,Yes,No,Month-to-month,Mailed check,70.55,49.05,No
0731-EBJQB,Female,No,Yes,Yes,52,Yes,NO,No internet service,No internet service,No internet service,One year,Electronic check,70.55,1090.65,No
1891-QRQSA,Male,Yes,Yes,Yes,64,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Bank transfer (automatic),70.55,7099.0,No
8028-PNXHQ,Male,No,Yes,Yes,62,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),70.55,1424.6,No
5630-AHZIL,Female,No,No,Yes,3,Yes,DSL,Yes,Yes,No,Month-to-month,Bank transfer (automatic),70.55,177.4,No
2673-CXQEU,Female,Yes,No,No,56,Yes,FIBER OPTIC,Yes,No,Yes,One year,Electronic check,70.55,6139.5,No
6416-JNVRK,Female,No,No,No,46,Yes,DSL,No,No,No,One year,Credit card (automatic),70.55,2688.85,No
5590-ZSKRV,Female,No,Yes,Yes,8,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,70.55,482.25,No
0191-ZHSKZ,Male,Yes,No,No,30,Yes,DSL,Yes,No,Yes,Month-to-month,Electronic check,70.55,2111.3,No
3887-PBQAO,Female,No,Yes,Yes,45,Yes,NO,No internet service,No internet service,No internet service,One year,Credit card (automatic),70.55,1216.6,No
5919-TMRGD,f,No,No,Yes,1,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,70.55,79.35,Yes
8108-UXRQN,Female,No,Yes,Yes,11,No,DSL,Yes,No,Yes,Month-to-month,Electronic check,70.55,565.35,No
9191-MYQKX,Female,No,Yes,No,7,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),70.55,496.9,Yes
9919-YLNNG,Female,No,No,No,42,Yes,FIBER OPTIC,No,Yes,Yes,Month-to-month,Bank transfer (automatic),70.55,4327.5,No
0318-ZOPWS,Female,No,Yes,No,49,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),70.55,973.35,No
4445-ZJNMU,Male,No,No,No,9,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Credit card (automatic),70.55,918.75,No
4808-YNLEU,Female,No,Yes,No,35,Yes,DSL,Yes,No,Yes,One year,Bank transfer (automatic),70.55,2215.45,No
1862-QRWPE,Female,No,Yes,Yes,48,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),70.55,1057.0,No
2796-NNUFI,Female,No,Yes,Yes,46,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,70.55,927.1,No
3016-KSVCP,Male,No,Yes,No,29,No,DSL,No,No,Yes,Month-to-month,Mailed check,70.55,1009.25,No
4767-HZZHQ,Male,No,Yes,Yes,30,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),70.55,2570.2,No
2424-WVHPL,Male,Yes,No,No,1,Yes,FIBER OPTIC,No,Yes,No,Month-to-month,Electronic check,70.55,74.7,No
7233-PAHHL,Male,No,Yes,Yes,66,Yes,DSL,Yes,Yes,Yes,Two year,Mailed check,70.55,5714.25,No
6067-NGCEU,Female,No,No,No,65,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Credit card (automatic),70.55,7107.0,No
9848-JQJTX,Male,No,No,No,72,Yes,FIBER OPTIC,No,No,Yes,Two year,Bank transfer (automatic),70.55,7459.05,No
8637-XJIVR,Female,No,No,No,12,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Electronic check,70.55,927.35,Yes
9803-FTJCG,Male,No,Yes,Yes,71,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),70.55,4748.7,No
0278-YXOOG,Male,No,No,No,5,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,70.55,113.85,Yes
3212-KXOCR,Male,No,No,No,52,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),70.55,1107.2,No
4598-XLKNJ,Female,Yes,Yes,No,25,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,70.55,2514.5,Yes
6380-ARCEH,Male,No,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,70.55,20.2,No
3679-XASPY,Female,No,Yes,Yes,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Electronic check,70.55,19.45,No
7123-WQUHX,Male,No,No,No,38,Yes,FIBER OPTIC,No,Yes,Yes,One year,Bank transfer (automatic),70.55,3605.6,No
5386-THSLQ,Female,Yes,Yes,No,66,No,DSL,No,No,Yes,One year,Bank transfer (automatic),70.55,3027.25,No
3192-NQECA,Male,No,Yes,No,68,Yes,FIBER OPTIC,No,Yes,Yes,Two year,Bank transfer (automatic),70.55,7611.85,Yes
6180-YBIQI,Male,No,No,No,5,No,DSL,No,No,No,Month-to-month,Mailed check,70.55,100.2,No
6728-DKUCO,f,No,Yes,Yes,72,Yes,FIBER OPTIC,Yes,No,Yes,One year,Electronic check,70.55,7303.05,No
9750-BOOHV,Female,No,No,No,32,No,DSL,Yes,No,No,One year,Mailed check,70.55,927.65,No
8597-CWYHH,Male,No,No,No,43,Yes,FIBER OPTIC,No,No,Yes,One year,Mailed check,70.55,3921.3,No
2848-YXSMW,Male,No,Yes,Yes,72,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),70.55,1363.25,No
0486-HECZI,Male,No,Yes,No,55,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Electronic check,70.55,5238.9,Yes
4549-ZDQYY,Female,No,No,No,52,Yes,DSL,Yes,Yes,No,One year,Credit card (automatic),70.55,3042.25,No
5712-AHQNN,Female,No,No,No,43,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,70.55,3954.1,No
4846-WHAFZ,Female,Yes,Yes,No,37,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,70.55,2868.15,Yes
5256-SKJGO,Female,No,Yes,Yes,64,No,DSL,No,Yes,Yes,Two year,Electronic check,70.55,3423.5,No
3071-VBYPO,Male,No,Yes,Yes,3,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Electronic check,70.55,248.4,No
9560-BBZXK,Female,No,No,No,36,No,DSL,Yes,No,No,Two year,Bank transfer (automatic),70.55,1126.35,No
5299-RULOA,Female,No,Yes,Yes,10,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Electronic check,70.55,1064.65,Yes
8402-OOOHJ,Female,No,No,No,41,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,70.55,835.15,No
9445-ZUEQE,Male,No,Yes,Yes,27,Yes,FIBER OPTIC,No,Yes,No,Month-to-month,Credit card (automatic),70.55,2151.6,No
1091-SOZGA,Female,No,Yes,Yes,56,Yes,FIBER OPTIC,No,No,Yes,One year,Credit card (automatic),70.55,5515.45,No
2928-HLDBA,Female,No,No,No,6,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,70.55,112.75,No
0404-SWRVG,Male,No,No,No,3,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,70.55,229.55,Yes
6497-TILVL,Female,No,Yes,Yes,7,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,70.55,350.35,No
7219-TLZHO,Female,No,Yes,Yes,4,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,70.55,62.9,No
4622-YNKIJ,Male,No,No,No,33,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Electronic check,70.55,3027.65,No
4412-YLTKF,Female,Yes,No,No,27,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,70.55,2135.5,Yes
6734-PSBAW,Male,No,Yes,No,72,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),70.55,1723.95,No
3930-ZGWVE,Male,No,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,70.55,19.75,No
2639-UGMAZ,Male,Yes,No,No,71,No,DSL,Yes,No,Yes,One year,Electronic check,70.55,3985.35,No
2876-GZYZC,Female,No,No,No,13,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,70.55,1215.65,No
6207-WIOLX,Female,No,Yes,Yes,25,No,DSL,Yes,No,Yes,Month-to-month,Credit card (automatic),70.55,1502.65,Yes
8587-XYZSF,Male,No,No,No,67,Yes,DSL,No,Yes,No,Two year,Bank transfer (automatic),70.55,3260.1,No
3091-FYHKI,Male,No,No,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,70.55,35.45,Yes
2372-HWUHI,Male,No,No,No,2,Yes,DSL,No,No,No,Month-to-month,Electronic check,70.55,81.25,Yes
7799-LGRDP,Female,No,No,No,43,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),70.55,1188.2,No
7850-VWJUU,Female,No,No,No,23,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Bank transfer (automatic),70.55,1778.5,No
3774-VBNXY,Female,No,Yes,Yes,64,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,70.55,1277.75,No
6217-KDYWC,Male,No,No,Yes,57,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,70.55,1170.55,No
0390-DCFDQ,Female,Yes,Yes,No,1,Yes,FIBER OPTIC,No,No,No,Month-to-month,Mailed check,70.55,70.45,Yes
3146-MSEGF,Female,Yes,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),70.55,6425.65,No
4080-OGPJL,Female,No,No,No,8,Yes,DSL,Yes,Yes,No,Month-to-month,Electronic check,70.55,563.65,Yes
1095-WGNGG,Female,No,Yes,No,61,Yes,FIBER OPTIC,No,No,Yes,Two year,Bank transfer (automatic),70.55,5971.25,No
2636-SJDOU,Male,No,No,No,64,Yes,FIBER OPTIC,Yes,No,No,One year,Credit card (automatic),70.55,5289.05,No
1131-QQZEB,Male,Yes,Yes,No,71,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),70.55,1756.2,No
5716-EZXZN,Female,No,Yes,Yes,65,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Credit card (automatic),70.55,6416.7,No
6837-BJYDQ,Male,No,No,No,3,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,70.55,61.35,No
2135-RXIHG,Male,No,No,No,1,Yes,DSL,No,No,No,Month-to-month,Electronic check,70.55,45.65,Yes
6440-DKQGE,Male,No,No,Yes,30,Yes,DSL,No,No,Yes,One year,Credit card (automatic),70.55,1929.95,No
3466-BYAVD,Male,No,Yes,Yes,15,Yes,DSL,No,Yes,No,Month-to-month,Mailed check,70.55,1071.4,No
3780-YVMFA,Female,No,Yes,Yes,8,Yes,DSL,No,Yes,Yes,Month-to-month,Electronic check,70.55,564.35,No
3874-EQOEP,Male,No,No,No,7,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Mailed check,70.55,655.5,Yes
1679-JRFBR,Female,No,Yes,Yes,70,Yes,FIBER OPTIC,Yes,No,Yes,One year,Credit card (automatic),70.55,7930.55,No
9073-ZZIAY,Male,No,Yes,Yes,62,Yes,DSL,Yes,Yes,Yes,Two year,Electronic check,70.55,5215.25,No
3077-RSNTJ,Female,No,Yes,Yes,6,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,70.55,113.5,No
6551-GNYDG,Female,No,Yes,Yes,14,Yes,FIBER OPTIC,No,No,No,Month-to-month,Bank transfer (automatic),70.55,1152.8,No
9167-APMXZ,Female,No,No,No,22,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Bank transfer (automatic),70.55,1821.95,No
2749-CTKAJ,Male,No,Yes,Yes,22,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,70.55,419.9,No
6371-NZYEG,Male,No,Yes,Yes,16,Yes,DSL,Yes,No,Yes,Two year,Mailed check,70.55,1024.0,No
7554-NEWDD,Male,No,No,No,10,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),70.55,251.6,No
8992-VONJD,Female,No,No,Yes,13,Yes,DSL,Yes,No,No,Month-to-month,Electronic check,70.55,764.55,No
9469-WEJBT,Male,No,Yes,No,37,Yes,FIBER OPTIC,No,Yes,No,Month-to-month,Electronic check,90.35,3419.3,No
3331-HQDTW,Female,No,No,No,34,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Mailed check,109.8,3587.25,Yes
9490-DFPMD,Female,Yes,No,No,42,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,84.65,3541.35,Yes
2581-VKIRT,Female,No,Yes,Yes,59,Yes,DSL,Yes,Yes,No,One year,Mailed check,65.5,3801.3,No
5442-XSDCW,Male,No,Yes,Yes,11,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Bank transfer (automatic),79.5,868.5,Yes
7426-WEIJX,Male,Yes,Yes,Yes,60,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Electronic check,80.95,4859.1,No
2851-MMUTZ,Female,No,No,No,27,Yes,DSL,No,Yes,No,Month-to-month,Mailed check,56.15,1439.35,No
3049-NDXFL,Female,No,No,No,1,Yes,FIBER OPTIC,No,No,No,Month-to-month,Mailed check,85.8,85.8,Yes
8580-AECUZ,Male,Yes,No,No,1,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,79.1,79.1,Yes
3307-TLCUD,Male,No,Yes,No,17,No,DSL,Yes,No,No,Month-to-month,Mailed check,34.4,592.75,No
6625-FLENO,Male,No,Yes,No,58,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,20.75,1185.95,No
2967-MXRAV,Male,No,Yes,Yes,1,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,18.8,18.8,No
7963-GQRMY,Female,No,Yes,Yes,3,Yes,DSL,No,No,No,Month-to-month,Mailed check,44.3,134.5,Yes
8189-HBVRW,Female,No,No,No,53,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Electronic check,90.8,4921.2,No
4163-KIUHY,Male,No,No,No,35,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Electronic check,25.6,901.25,No
1228-FZFRV,Male,No,Yes,Yes,50,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Credit card (automatic),105.95,5341.8,Yes
3500-NSDOA,Male,No,Yes,Yes,68,Yes,DSL,No,Yes,No,Two year,Credit card (automatic),70.8,4859.95,No
1171-TYKUR,Male,No,Yes,No,47,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Electronic check,25.4,1139.2,No
3761-FLYZI,Female,Yes,Yes,No,65,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Bank transfer (automatic),108.8,7082.45,No
2058-DCJBE,Male,No,No,No,5,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,69.75,324.6,Yes
5364-XYIRR,Male,No,Yes,No,51,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,94.65,4812.75,Yes
4829-AUOAX,Female,No,No,No,46,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Bank transfer (automatic),96.05,4399.5,Yes
1219-NNDDO,Female,No,No,No,9,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,76.85,663.55,No
8388-DMKAE,Female,No,No,No,8,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,20.25,174.65,No
4403-BWPAY,Male,No,No,No,14,Yes,NO,No internet service,No internet service,No internet service,One year,Credit card (automatic),24.8,321.7,No
9659-QEQSY,Female,No,No,No,45,Yes,FIBER OPTIC,Yes,Yes,Yes,Month-to-month,Electronic check,115.65,5125.5,No
5405-ZMYXQ,Female,No,No,No,8,Yes,FIBER OPTIC,No,No,No,Month-to-month,Credit card (automatic),74.6,548.9,No
5047-LHVLY,Male,Yes,No,Yes,1,Yes,DSL,No,No,No,Month-to-month,Mailed check,50.15,50.15,Yes
1442-OKRJE,Male,No,Yes,Yes,66,Yes,FIBER OPTIC,Yes,No,Yes,One year,Bank transfer (automatic),103.15,7031.3,No
4737-AQCPU,Male,No,Yes,Yes,72,Yes,DSL,Yes,Yes,No,Two year,Credit card (automatic),72.1,5016.65,No
9158-VCTQB,Female,No,Yes,No,41,Yes,FIBER OPTIC,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),113.6,4594.95,Yes
2808-CHTDM,Female,No,Yes,Yes,23,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,25.1,611.45,No
6311-UEUME,Female,No,No,No,29,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,78.9,2384.15,Yes
0793-TWELN,Female,No,No,No,4,Yes,FIBER OPTIC,Yes,No,No,Month-to-month,Electronic check,80.15,319.85,No
3283-WCWXT,Male,No,Yes,Yes,6,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,25.4,153.3,No
1060-ENTOF,Female,Yes,Yes,No,67,Yes,FIBER OPTIC,Yes,Yes,No,One year,Credit card (automatic),105.4,7035.6,No
0999-QXNSA,Male,Yes,No,Yes,7,Yes,DSL,No,No,No,Month-to-month,Mailed check,45.75,344.2,No
5451-MHQOF,Male,No,Yes,Yes,56,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,24.45,1431.65,No
4836-WNFNO,Female,No,Yes,No,72,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),25.0,1849.2,No
9225-BZLNZ,Male,No,Yes,No,72,Yes,DSL,Yes,No,Yes,Two year,Electronic check,85.25,6083.1,No
0354-VXMJC,Male,No,Yes,Yes,23,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),19.6,426.65,No
4422-QVIJA,Female,No,No,Yes,35,Yes,DSL,No,No,No,Month-to-month,Mailed check,50.15,1655.35,No
9365-SRSZE,Male,Yes,Yes,No,27,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,70.55,1943.9,No
6839-ITVZJ,Female,No,Yes,Yes,26,Yes,DSL,No,Yes,No,Month-to-month,Electronic check,60.05,1616.15,Yes
8332-OSJDW,Male,No,Yes,Yes,12,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,26.4,314.95,No
4735-BJKOU,Female,No,No,No,40,Yes,NO,No internet service,No internet service,No internet service,Two year,Mailed check,20.15,804.85,No
0274-JKUJR,Male,No,Yes,Yes,7,No,DSL,Yes,No,Yes,Month-to-month,Mailed check,58.85,465.7,No
5740-YHGTW,Male,No,Yes,Yes,70,Yes,FIBER OPTIC,Yes,No,Yes,Month-to-month,Credit card (automatic),97.55,6669.05,No
8917-SZTTJ,Male,No,Yes,Yes,60,Yes,NO,No internet service,No internet service,No internet service,Two year,Credit card (automatic),19.65,1161.75,No
1696-MZVAU,Male,No,Yes,Yes,39,No,DSL,No,No,No,One year,Credit card (automatic),25.25,947.75,No
7359-WWYJV,Male,No,Yes,No,72,Yes,FIBER OPTIC,Yes,Yes,Yes,Two year,Credit card (automatic),114.45,8375.05,No
0375-HVGXO,Female,No,No,No,1,No,DSL,No,No,Yes,Month-to-month,Electronic check,34.7,34.7,Yes
4906-ZHGPK,Male,No,Yes,Yes,54,Yes,DSL,No,Yes,Yes,One year,Electronic check,70.7,3770.0,No
8593-WHYHV,Male,No,No,No,3,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,85.3,264.8,Yes
3795-GWTRD,Female,No,Yes,Yes,63,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),75.55,4707.85,No
1298-PHBTI,Male,No,Yes,Yes,71,Yes,FIBER OPTIC,No,Yes,No,Two year,Electronic check,84.8,6152.4,No
6223-DHJGV,Female,No,No,No,42,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,20.65,958.1,No
6961-MJKBO,Male,No,No,No,47,Yes,NO,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),20.45,943.0,No
